word,sentiment
kaşı çatılmak,negative
içini bayıltmak,negative
karnından konuşmak,negative
mütegallibe,negative
yıldırıcı,negative
cenkleşmek,negative
ecel beşiği,negative
ıkına tıkına,negative
stok,negative
istikrah,negative
azmak,negative
hoşaf gibi,negative
hayırsızca,negative
saygı duymamak,negative
celallenmek,negative
ürkütmek,negative
eyvah,negative
bilgisizlik,negative
yüreksizlik,negative
bozum etmek,negative
hak ihlali,negative
vahşilik,negative
teşvik,negative
hüsranlı,negative
özseverlik,negative
üzerine vazife olmamak,negative
beti benzi atmak solmak,negative
bıçaklama,negative
bağrını delmek,negative
talihsiz,negative
kazıklamak,negative
endişe,negative
gülerken ısırmak,negative
silkinti,negative
dolduruşa gelmek,negative
başı sıkışmak,negative
yüreği yanmak,negative
kara kabarcık,negative
tek durmamak,negative
bağnazlaşmak,negative
sedyelik olmak,negative
kanı donmak,negative
züppelik,negative
kalbura çevirmek,negative
fitil vermek,negative
yalan haber,negative
çaprazlaşmak,negative
lafını kesmek,negative
karınca yuvası gibi,negative
beti benzi kireç kesilmek,negative
hoppalık etmek,negative
gagalanmak,negative
kavgaya girişmek,negative
kovcu,negative
sinekten yağ çıkartmak,negative
körlemeden,negative
gücendirmek,negative
batkıya uğramak,negative
cevahir yumurtlamak,negative
kasılmak,negative
genelev,negative
pot gelmek,negative
deyyus,negative
zeval bulmak,negative
tövbesini bozmak,negative
kan gitmek,negative
delik eğirmek,negative
asıp kesmek,negative
içine baygınlıklar çökmek,negative
laf çıkmak,negative
umudunu kırmak,negative
sehpa,negative
zorunlu kılmak,negative
gözden kaybolmak,negative
içi kararmak,negative
hastalık almak,negative
ziyan olmak,negative
püf desen uçacak,negative
çulcu,negative
kronik gastrit,negative
sehiv,negative
kulakları uğuldamak,negative
kurutmak,negative
müzahrefat,negative
aba altından sopa göstermek,negative
yalancısı olmak,negative
lütfen,negative
ödünleme,negative
kâbus,negative
avamca,negative
bağrışma,negative
adilik,negative
dikbaşlılık,negative
rahatsızlık duymak,negative
yaygarayı basmak,negative
taşlamacı,negative
okkanın altına gitmek,negative
saçılıp dökülmek,negative
sululuk yapmak,negative
yırtılmak,negative
sulu,negative
kafasının bir tahtası noksan,negative
kalbi yırtılmak,negative
çürük iş,negative
buluttan nem kapmak,negative
aşağılayıcı söz,negative
çiçek çıkarmak,negative
karalamak,negative
yüzüne gözüne bulaştırmak,negative
enayilik etmek,negative
şamar atmak,negative
kuruyasıca,negative
klinik vaka,negative
af,negative
ah,negative
panik,negative
tedbirsizce,negative
al,negative
yemlik,negative
az,negative
kahırlı,negative
kaşlarını çatmak,negative
başlatmak,negative
parçalamak,negative
aklını oynatmak,negative
kıçınakına yakmak,negative
sululuk etmek,negative
tamahkar,negative
da,negative
atmasyon,negative
sitem,negative
de,negative
bostan korkuluğu,negative
kılıksız,negative
fenalık çökmek,negative
eh,negative
kıçını yırtmak,negative
aç,negative
ürküntü,negative
ölümü göze almak,negative
hırslandırmak,negative
piç kurusu,negative
bayır turpu,negative
rötar,negative
ağ,negative
bellek kaybı,negative
gönül çöküşü,negative
kan zehirlenmesi,negative
alet olmak,negative
dövizzede,negative
tutsak olmak,negative
zevzeklenme,negative
başına dolamak,negative
it,negative
karmakarışık,negative
küp gibi,negative
patır kütür,negative
malumatfuruş,negative
satılmak,negative
sorutmak,negative
bir hâl olmak,negative
memluk,negative
allahsız,negative
havadan nem kapmak,negative
of,negative
torpilcilik,negative
dayanılmazlaşmak,negative
erkekliğe sığmamak,negative
salakça,negative
ölümcül,negative
kanıvermek,negative
çizmeden yukarı çıkmak,negative
usandırmak,negative
fenalık etmek,negative
imtihan,negative
metrukat,negative
dehhaş,negative
tu,negative
kır gerillası,negative
eğitimsiz,negative
yanlış yorumlama,negative
genel ev,negative
ut,negative
yüreği tıkanmak,negative
kan gelmek,negative
ağzından çıkan sözü kulağı duymamak,negative
tek taraflı felç,negative
sinir buhranı,negative
ağlamak,negative
sütü bozuk,negative
büyük laf etmek,negative
durgun,negative
kalbi parçalanmak,negative
bulaşıcı,negative
çaresizlik,negative
yasaklayıcı,negative
yokluk,negative
mahcup etmek,negative
tavuk ayağı yemek,negative
yo,negative
kancayı takmak,negative
ücra,negative
kahretmek,negative
piyasa yeri,negative
avalca,negative
eli kurusun,negative
sararmak,negative
azışmak,negative
kuskunu düşük,negative
yüz kiri,negative
kıl kuyruk,negative
yutak iltihabı,negative
parasız pulsuz,negative
künde,negative
hızlı,negative
nazlı,negative
insomniya,negative
hadise çıkarmak,negative
irinli,negative
eli varmamak,negative
inhitat etmek,negative
yalanını tutmak,negative
yabanileştirme,negative
laf işitmek,negative
çetinleştirme,negative
lapacı,negative
attan inip eşeğe binmek,negative
tehlikeye atılmak,negative
sekel,negative
merhametsizcesine,negative
bal mumu gibi erimek,negative
sefa pezevengi,negative
başına bir hâl gelmek,negative
imkânı yok,negative
rahat bırakmamak,negative
avarya,negative
hüngürdemek,negative
cezalanmak,negative
sedasyon,negative
korkuya kapılmak,negative
açgözlüleşmek,negative
perişan,negative
nisyan,negative
karşılıksız aşk,negative
avene,negative
etekleri tutuşmak,negative
yabanıllaşmak,negative
saçma,negative
sölpük,negative
inhisar,negative
ürtiker,negative
mübalağa,negative
kaldırımları arşınlamak,negative
buruşmak,negative
olay yaratmak,negative
sürüm sürüm,negative
delmek,negative
solda sıfır kalmak,negative
elinden kan çıkmak,negative
taklitçi,negative
isteksizlik,negative
tüyleri diken diken olmak,negative
metrukât,negative
mani olmak,negative
bulaşıcı hastalık,negative
mahşere dönmek,negative
endişelendirmek,negative
üstüne bir bardak soğuk su içmek,negative
üzüntülü,negative
kanlı bıçaklı olmak,negative
adaletsizce,negative
aklı bir karış havada olmak,negative
ciğerini sökmek,negative
kahpece,negative
tetanos,negative
konforsuz,negative
mankafalık,negative
urbasızlık,negative
tehlike çanları çalmak,negative
gayrisıhhi,negative
uğraşmak,negative
tebessümsüz,negative
komplo kurbanı,negative
tuzakçı,negative
yeteneksizlik,negative
ağır yara almak,negative
şeytana uymak,negative
kâbus çökmek,negative
araya girme,negative
müsaade etmemek,negative
esir yatmak,negative
namusunu temizlemek,negative
ölüm kalım savaşı yapmak,negative
bilisiz,negative
neşesi kaçmak,negative
yatak yorgan yatmak,negative
kara çalma,negative
debillik,negative
madrabazlık,negative
kaş yaparken göz çıkarmak,negative
çiğnemek,negative
tos vurmak,negative
arının yuvasına kazık dürtmek,negative
ajite etme,negative
korku düşmek,negative
hık tutmak,negative
müşteki olmak,negative
ağzından girip burnundan çıkmak,negative
aşağılayış,negative
geri zekâlı,negative
carlamak,negative
ceza görmek,negative
cebelleşmek,negative
sairfilmenam,negative
doping yapmak,negative
hırsızlık,negative
kukumav kuşu gibi düşünüp durmak,negative
kıtlamak,negative
sökük,negative
dezavantaj,negative
zincire vurmak,negative
tacizlik etmek,negative
keder vermek,negative
içini ezmek,negative
düğüm üstüne düğüm vurmak,negative
yasadışı,negative
tepesinden kaynar sular dökülmek,negative
tarafgirlik,negative
süveyda,negative
beis,negative
bunaltıcı,negative
küplü,negative
darı darına,negative
sarsılmak,negative
bela,negative
zıvanadan çıkarmak,negative
zihnini altüst etmek,negative
sıçıp sıvamak,negative
cenkçi,negative
sel götürmek,negative
lüknet,negative
burnu büyümek,negative
anormalleşmek,negative
cici mama,negative
sivri,negative
yaka ısırmak,negative
uyuşturucu kullanmak,negative
ağzının kokusunu çekmek,negative
kötü davranma,negative
militanlaşmak,negative
üzülme,negative
düğüm,negative
sele gitmek,negative
allak bullak etmek,negative
budalalaşmak,negative
gütmek,negative
üçkâğıt,negative
ölüm sessizliği çökmek,negative
kapamak,negative
marazlık etmek,negative
yıldırım çarpmışa dönmek,negative
el altından,negative
lakırtıya boğmak,negative
çanak açmak,negative
neşterlemek,negative
feveran etmek,negative
eli şakağında,negative
ateş yağdırmak,negative
soluğu tutulmak,negative
göz dikmek,negative
elezerlik,negative
çürüğe çıkmak,negative
gücendirici,negative
siyatik,negative
yüzsüz,negative
lakayıt,negative
yarmak,negative
lafa tutmak,negative
hödükleşme,negative
üstüne yıkılmak,negative
gövdeye indirmek,negative
stokçuluk,negative
mazeret,negative
adam hesabına koymak,negative
aldatma,negative
cebellezi,negative
partiyi kaybetmek,negative
akideyi bozmak,negative
başını duman almak,negative
tedhişçilik,negative
ağzına ... koymamak,negative
yanılgıya düşmek,negative
tecrit etmek,negative
lafı dolandırmak,negative
nârına yanmak,negative
sağır etmek,negative
dalyarak,negative
şefkatsizlik,negative
sahtecilik,negative
ayağa düşmek,negative
kafasından atmak,negative
kapış kapış yapmak,negative
kararsızca,negative
olmayacak duaya âmin demek,negative
bir çuval inciri berbat etmek,negative
yürek paralamak,negative
paslı,negative
semiz,negative
kahreylemek,negative
çekişmek,negative
ölü sevici,negative
nihayetlenmek,negative
ilençli,negative
inkisarı tutmak,negative
halk yardakçısı,negative
kaşkariko,negative
olgunlaşmamışlık,negative
kandırıcı,negative
riske etmek,negative
alçaltı,negative
bokunda boncuk bulmak,negative
gözleri buğulanmak,negative
kuru kuruya,negative
arsızlanmak,negative
kırmızı kart,negative
cahillik etmek,negative
kafayı vurmak,negative
kaşalot,negative
sönük,negative
gözüne uyku girmemek,negative
haysiyetine dokunmak,negative
zendost,negative
yüzüne bakamaz olmak,negative
keleklik,negative
toplum dışı,negative
sepetlemek,negative
ihmal etmek,negative
ailesiz,negative
midesi bulanmak,negative
nikbet,negative
demediğini koymamak,negative
olta,negative
yalaka olmak,negative
ters anlamak,negative
kan tutmak,negative
vız gelip tırıs gitmek,negative
tepetakla yuvarlanmak,negative
tartaklanmak,negative
zamparalık etmek,negative
hırslanmak,negative
çene yormak,negative
dalga saymak,negative
kem küm etmek,negative
üstüne alınmak,negative
cakasını bozmak,negative
tefe koymak,negative
mevkufiyet,negative
lakırtısı az,negative
ağzının payını almak,negative
gevezelenme,negative
ölçüsüzlük,negative
dirayetsiz,negative
yakıştırmak,negative
sarsakça,negative
komplo kurbanı olmak,negative
saçını başını yolmak,negative
gastrit,negative
üstünden geçmek,negative
arası soğumak,negative
el iyisi olmak,negative
terletmek,negative
göz hapsine almak,negative
yararsızlık,negative
tasalı,negative
baş ağrıtmak,negative
akidesi bozulmak,negative
kalabalık,negative
ahirette on parmağı yakasında olmak,negative
kabahati yüklemek,negative
antipatik olmak,negative
set çekmek,negative
kaşıkla verip kepçeyle geri almak,negative
kaşmer,negative
kafa bulmak,negative
sıska olmak,negative
gemini kısmak,negative
karalama,negative
müsamahasız,negative
eriyip bitmek,negative
burun kıvırmak,negative
numara,negative
pasif,negative
sır vermek,negative
dallanmak,negative
mahzunane,negative
vahşice,negative
bağırsak spazmı,negative
trafik terörü,negative
adembaba,negative
burnundan gelmek,negative
iç gıcıklamak,negative
harabat,negative
katresi kalmadı,negative
kültür şoku,negative
mesele çıkarmak,negative
çirkef,negative
yoksulluk çekmek,negative
terslik,negative
elle tutulur tarafı olmamak,negative
tirit,negative
kaba,negative
dünya savaşı,negative
yerleştirmek,negative
moloz,negative
ham ervah,negative
ruhsuzlaştırma,negative
üzüntü,negative
tutarsızca,negative
ümidi sönmek,negative
mahvetmek,negative
ciğerini geçmek,negative
parti,negative
kâfir,negative
gazaplı,negative
çirkin,negative
kan tere batmak,negative
çarpıtılma,negative
sinir küpüne dönmek,negative
ahtapot gibi,negative
donakalmak,negative
burnundan yakalamak,negative
sudan sebep,negative
bir şey anlamamak,negative
savunmasız,negative
mukavemeti kırılmak,negative
muhasara altına almak,negative
kaka,negative
surat etmek,negative
darmaduman olmak,negative
üstünlük duygusu,negative
gözaltında tutmak,negative
eli ayağı buz kesilmek,negative
siktirip gitmek,negative
kalp,negative
kanlı katil,negative
başı belada olmak,negative
kaos,negative
serserice,negative
azınlıkta kalmak,negative
diliyle yakalanmak,negative
savaş uçağı,negative
şehvetsiz,negative
gavur icadı,negative
çapraşık,negative
kulak tırmalamak,negative
tıknefes olmak,negative
akılsızcasına,negative
boynu eğri olmak,negative
sekte,negative
kafakola almak,negative
kabalaşma,negative
sapkın,negative
gözden sürmeyi çalmak,negative
öf,negative
müzevirlemek,negative
kara,negative
hidrofobi,negative
azdırmak,negative
cıyak cıyak etmek,negative
mapusa düşmek,negative
gark etmek,negative
hırsızcasına,negative
görmemişlik,negative
rahmetli,negative
kavga patlamak,negative
ithamda bulunmak,negative
tünel geçmek,negative
akıl zayıflığı,negative
zemberek kurulmak,negative
tiran,negative
katı,negative
mahkûmiyet,negative
pislenmek,negative
kılçık atmak,negative
kalp hastası,negative
yobazca,negative
soluk darlığı,negative
eriyip gitmek,negative
madik oynamak,negative
oynatmak,negative
söz rüşveti,negative
sövüşmek,negative
esirgemek,negative
nasırlı,negative
köpürmek,negative
bel ağrısı,negative
art düşünce,negative
hantal,negative
haraççı,negative
karmakarış etmek,negative
nadanca,negative
uğursuz,negative
titretmek,negative
hakaret görmek,negative
terbiyesini bozmak,negative
maluliyet,negative
muhataralı,negative
cibilliyetsiz,negative
üzerine atmak,negative
nazlanma,negative
tartışmaya girmek,negative
eveleme geveleme,negative
ipi çürük,negative
tehlikeli,negative
yoksun kalmak,negative
arifeyi gösterip bayramı göstermemek,negative
yolgeçen hanı,negative
saçmalaşmak,negative
ayaz kesmek,negative
hilekârlık,negative
vurdukça tozumak,negative
vahametli,negative
seme tavuk,negative
imkânsızlık,negative
pervasız,negative
pimini çekmek,negative
müfteri,negative
ürkütücü,negative
akılcı olmayan,negative
freni tutmamak,negative
duvar,negative
tadı kaçmak,negative
liyakatsizce,negative
çığ düşmek,negative
varlıkta darlık çekmek,negative
elini kolunu sallaya sallaya gelmek,negative
karabulut,negative
dil ebesi,negative
kupkuru kesilmek,negative
aldırışsız,negative
yeise kapılmak,negative
dili uzamak,negative
alçalmak,negative
kökü kurumak,negative
celalli,negative
katakulli yapmak,negative
taşıllaşmak,negative
körlenmek,negative
pisbıyık,negative
sinirleri boşanmak,negative
köpoğluköpek,negative
karalar bağlamak,negative
yüzsüzlük,negative
aydıncık,negative
maskarasını çıkarmak,negative
bıkkınlık vermek,negative
meraka düşmek,negative
yakışıksız,negative
beniçinci,negative
teli kırmak,negative
içgüveysi,negative
maymun gibi,negative
hipotansiyon,negative
sersemcesine,negative
katalepsi,negative
zokayı yutmak,negative
ölüm kalım meselesi olmak,negative
eli sıkılık,negative
delice,negative
diş geçirmek,negative
iştah kesmek,negative
aksilik,negative
yoksul,negative
yoksun,negative
sızlamak,negative
yoksuz,negative
kültürsüz,negative
travmatik,negative
çaresiz kalmak,negative
ıssızca,negative
derdini çekmek,negative
pabucuna kum dolmak,negative
küçük görmek,negative
sır sızdırmak,negative
işportaya düşmek,negative
yabansımak,negative
arsızlık,negative
yumurta kapıya dayanmak,negative
hava fena esmek,negative
aşırmacı,negative
meteliksiz,negative
kurnazlık etmek,negative
elden gelmemek,negative
muaraza,negative
bulutlanmak,negative
su yapmak,negative
gümrüksüz,negative
entrika,negative
fena olmak,negative
maharetsiz,negative
eceliyle ölmek,negative
kısıtlamak,negative
cinleri başına toplanmak,negative
kavgaya tutuşmak,negative
plak bozulmak,negative
cafcafından geçilmemek,negative
rahim,negative
göz açtırmamak,negative
koyu koyu düşünmek,negative
biri,negative
sınırdışı etme,negative
münasebetsizce,negative
kafirleşme,negative
küfelik olmak,negative
ölümsek,negative
rafa kaldırmak,negative
panikatak,negative
tarazlanmak,negative
demoralize etmek,negative
bilmemezlik,negative
ölüm kalım meselesi yapmak,negative
alay geçmek,negative
ateş basmak,negative
tehir,negative
faka basmak,negative
eser kalmamak,negative
günahlı,negative
derinti,negative
yanmak,negative
bilecen,negative
görevinden almak,negative
işi azıtmak,negative
kör şeytandan bulmak,negative
geçmişi olmak,negative
cafcaf,negative
kök sökmek,negative
don yağının tortusu gibi oturmak,negative
sözünü kesmek,negative
anormalleştirmek,negative
beyinsiz,negative
çıkmaza girmek,negative
kaynamak,negative
gurursuz,negative
kederleniş,negative
fırçalamak,negative
ahiret suali,negative
hart hurt etmek,negative
aklına yelken etmek,negative
sağlıksız,negative
aşıntı,negative
başı çatlamak,negative
dazkırlaşmak,negative
soluksuzluk,negative
patak,negative
sitemkar,negative
cimrilik,negative
takmamazlık,negative
başarısızlığa uğramak,negative
pabucuna taş kaçmak,negative
tu kaka,negative
muzmahil,negative
çatır çatır,negative
dolmuşa binmek,negative
tehlike,negative
tatlı canını sıkmak,negative
dil yarası,negative
ağzı bozuk,negative
su kaçırmak,negative
dümen yapmak,negative
pahalanmak,negative
dokuz doğurmak,negative
önemsemezce,negative
ayaklarına kapanmak,negative
sayıklamak,negative
gününü göstermek,negative
başı darda kalmak,negative
gâvur icadı,negative
karakuşi,negative
peltek,negative
bir bardak suda fırtına koparmak,negative
cin çarpmışa dönmek,negative
mazarrat,negative
aleyhe dönmek,negative
telaşa vermek,negative
dilleklik,negative
kahpelik,negative
baloncu,negative
yangın,negative
anasından doğduğuna pişman etmek,negative
çakmak,negative
şiddet olayı,negative
cehennemi boylamak,negative
yan gözle bakmak,negative
içtensiz,negative
üvey baba,negative
çene yarıştırmak,negative
rezilce,negative
rakip,negative
boğazından kesmek,negative
suratını dağıtmak,negative
adını lekelemek,negative
teehhür,negative
kafa patlatmak,negative
çalapaça,negative
sarkıntılık yapmak,negative
vuruş kırış,negative
tekel,negative
ortada bırakmak,negative
dayak yemek,negative
kıyamete kalmak,negative
kuruntu etmek,negative
yüzüne bir daha bakmamak,negative
çocuk pornografisi,negative
kâhyalık,negative
cenabet,negative
dilini yutmak,negative
dünyanın kaç bucak olduğunu göstermek,negative
densizce,negative
aldanış,negative
kafasını vurmak,negative
kırgınlık,negative
bilmezleme,negative
tahdit etmek,negative
menedilmek,negative
sürüklenmek,negative
adam yerine koymak,negative
ürkeklik,negative
basmakalıplaşmak,negative
tekme,negative
kapalı olmak,negative
kronik böbrek yetmezliği,negative
kara haber,negative
kuvvetsizce,negative
külkedisi,negative
murabahacı,negative
gamlandırmak,negative
elinin hamuruyla erkek işine karışmak,negative
yüz çevirmek,negative
yere çalmak,negative
serseri,negative
deforme olmak,negative
kapanca,negative
kâr etmemek,negative
serseri mayın,negative
dermanı kesilmek,negative
terletici,negative
komplo teorisi,negative
periodontit,negative
lezzetsiz,negative
göstermeci,negative
utanmazca,negative
baştan kara gitmek,negative
merak etmek,negative
aklı kıt,negative
vızıldamak,negative
daltonizm,negative
utandırmak,negative
bungunlaşmak,negative
kalem kırmak,negative
çapanoğlunun abdest suyu gibi,negative
şirretlik,negative
büzülmek,negative
yüz göz,negative
cevher yumurtlamak,negative
ifrit olmak,negative
gözlerini kan bürümek,negative
dingildemek,negative
sokak çocuğu,negative
yaraşıksız,negative
karanlığa gömülmek,negative
nihayetsiz,negative
toprağa bakmak,negative
sözü döndürüp dolaştırmak,negative
yalımı alçak,negative
ayaklı canavar,negative
garaz bağlamak,negative
tutarsız,negative
gayriiradi,negative
boş koymak,negative
bozuk düzen,negative
kurban,negative
sıkış tıkış,negative
sövme,negative
şikayet etmek,negative
tesellisiz,negative
zorbalık etmek,negative
sakamet,negative
yasaklanmak,negative
gözleri fıldır fıldır etmek,negative
muğber,negative
korku salmak,negative
yasakları çiğnemek,negative
kavara,negative
sövgü,negative
gözünden yaşlar boşanmak,negative
atıcı,negative
gayretsiz,negative
afyonu başına vurmak,negative
cinnet geçirmek,negative
kültürsüzleşmek,negative
dermansızlık,negative
partizanca,negative
kolları kopmak,negative
önüne bakmak,negative
kerh,negative
eğri,negative
deve etmek,negative
karı ağızlı,negative
kulak ardı etmek,negative
cansız,negative
yüreği sıkışmak,negative
fıtık olmak,negative
güneşe karşı işemek,negative
sadme,negative
antihijyenik,negative
imkansızlık,negative
yalan dolan,negative
deforme olmuş,negative
laklak,negative
suiniyet,negative
gözleri çakmak çakmak,negative
eksik gelmek,negative
başı dara düşmek,negative
dan dun konuşmak,negative
sıngın,negative
dımdızlak,negative
sağını solunu bilmemek,negative
gem almamak,negative
üşenmek,negative
vergi kaçırmak,negative
lakaydi,negative
bir paralık etmek,negative
sadik,negative
takati kesilmek,negative
ağzını burnunu kırmak,negative
zebunküş,negative
gözetim,negative
yük altına girmek,negative
polemiğe girişmek,negative
düzeysizce,negative
öğüreceği gelmek,negative
taş taş üstünde bırakmamak,negative
sineye çekmek,negative
moralini bozmak,negative
karman çorman etmek,negative
kurada,negative
muallakta kalmak,negative
sütsüz,negative
tefrika çıkarmak,negative
laf kalabalığı,negative
yüreğini tüketmek,negative
yekûn çekmek,negative
nörotik kişilik,negative
şakayı kakaya çevirmek,negative
nörotik,negative
yüreği boğazına tıkanmak,negative
bir torba kemik,negative
cakalanmak,negative
merhameten,negative
parça,negative
muhabbet tellallığı,negative
âdembaba,negative
gururlu,negative
cahil kalmak,negative
ihlassızca,negative
problem,negative
eşek kafalı,negative
feleği şaşmak,negative
ziftlenmek,negative
kel kahya,negative
yerli yersiz,negative
ahmak yerine koymak,negative
fena kalpli,negative
tepeüstü düşmek,negative
aslı faslı yok,negative
ambargo koymak,negative
fatalite,negative
görgüsüz,negative
rahat kıçına batmak,negative
görevden uzaklaştırmak,negative
sızlanma,negative
karmaşık,negative
kıvrantı,negative
kirli çıkı,negative
cesaretsiz,negative
çatmak,negative
üzmek,negative
falakaya vurmak,negative
zırnık,negative
hırtlambası çıkmak,negative
kara bahtlı,negative
sonunu getirememek,negative
zindan kesilmek,negative
beş paralık etmek,negative
çökertmek,negative
merdiven altı üretim,negative
eli böğründe kalmak,negative
ağıt düzmek,negative
gözden sürmeyi çekmek,negative
buyruğu altına girmek,negative
oldubittiye getirmek,negative
sistit,negative
boğazlamak,negative
benzi solmak,negative
istihfaf etmek,negative
ceza çekmek,negative
kağnı gibi gitmek,negative
zorlaştırma,negative
sekter,negative
alabora,negative
işporta malı,negative
acımasız,negative
dayanılmaz,negative
karaçalı,negative
havanda su dövmek,negative
kötü söylemek,negative
tahammuz,negative
sakıntılı,negative
sinirlerini germek,negative
itişe kakışa,negative
toslamak,negative
dört yanı deniz kesilmek,negative
tufeyli,negative
son yolculuk,negative
gözlerini duman bürümek,negative
altı tutmak,negative
tutarsızlaşmak,negative
vukuat,negative
devre dışı kalmak,negative
sepet havası çalmak,negative
topu taca bırakmak,negative
kıtal,negative
kaba sofu,negative
yorgun argın,negative
mantinota,negative
sürtüklük,negative
sözünden dönmek,negative
yüksek perdeden konuşmak,negative
kapatma,negative
neme lazımcı,negative
sürünmek,negative
vergi kaçağı,negative
kolay yola getirilememe,negative
ceninisakıt,negative
sille tokat,negative
kara damaklı,negative
sokağa düşmek,negative
dargınlık,negative
hurdası çıkmak,negative
Asya gribi,negative
camı çerçeveyi indirmek,negative
sorgulamak,negative
kirişi kırmak,negative
kaşıkla yedirip sapıyla çıkartmak,negative
safra,negative
kalbe işlemek,negative
aygın baygın,negative
istenmeyen durum,negative
istifra etmek,negative
kene gibi yapışmak,negative
parasıyla rezil olmak,negative
semtine uğramamak,negative
tecziye etmek,negative
iftira,negative
maneviyatını kırmak,negative
pat küt,negative
soğukluk,negative
kapanık,negative
kapıdan çevirmek,negative
inekçi,negative
çorba olmak,negative
yansılamak,negative
sululaşmak,negative
karşın,negative
efkâr etmek,negative
deli çıkmak,negative
kadidi çıkmak,negative
tabii afet,negative
